job_role,required_skills,good_to_have_skills,min_cgpa,certifications
Software Developer,Python;Java;C++;Data Structures;Algorithms;OOP;Git;DBMS,System Design;Cloud Basics;Docker;Kubernetes;REST APIs,6.5,Oracle Java Certification;AWS Certified Developer
Data Analyst,Python;SQL;Excel;Statistics;Data Visualization;Power BI;Pandas;NumPy,Tableau;Machine Learning;R;Google Analytics;ETL,6,Google Data Analytics Certificate;Microsoft Power BI Certification
Data Scientist,Python;Machine Learning;Statistics;SQL;Pandas;NumPy;Scikit-learn;Data Visualization,Deep Learning;TensorFlow;PyTorch;Big Data;Spark;NLP,7,IBM Data Science Certificate;Coursera ML Specialization
Web Developer,HTML;CSS;JavaScript;React;Node.js;Git;REST APIs;SQL,TypeScript;MongoDB;Docker;AWS;Next.js,6,Meta Front-End Developer Certificate;freeCodeCamp
Machine Learning Engineer,Python;Machine Learning;Deep Learning;TensorFlow;PyTorch;SQL;Linear Algebra;Statistics,MLOps;Docker;Kubernetes;Spark;Scala,7.5,TensorFlow Developer Certificate;AWS ML Specialty
Business Analyst,Excel;SQL;Data Visualization;Communication;PowerPoint;Business Intelligence;Requirement Gathering,Power BI;Tableau;Python;Agile;JIRA,6,CBAP Certification;Google Data Analytics
Cloud Engineer,AWS;Linux;Networking;Python;Docker;Kubernetes;Security Basics,Terraform;CI/CD;Ansible;Bash Scripting,6.5,AWS Solutions Architect;Azure Administrator;Google Cloud Associate
Cybersecurity Analyst,Networking;Linux;Python;Ethical Hacking;Cryptography;SIEM Tools;Firewalls,Penetration Testing;Malware Analysis;Incident Response;Cloud Security,6.5,CompTIA Security+;CEH;CISSP
DevOps Engineer,Linux;Docker;Kubernetes;CI/CD;Git;Python;Jenkins;Networking,Terraform;Ansible;AWS;Monitoring Tools;Prometheus,6.5,Docker Certified Associate;AWS DevOps Engineer
UI/UX Designer,Figma;Adobe XD;User Research;Wireframing;Prototyping;HTML;CSS,JavaScript;Usability Testing;Motion Design;Sketch,5.5,Google UX Design Certificate;Interaction Design Foundation
Android Developer,Java;Kotlin;Android SDK;REST APIs;Git;SQLite;XML,Firebase;Jetpack Compose;Flutter;CI/CD for Mobile,6,Associate Android Developer by Google
